true\pred,CA14: กล่องของท่านไม่เชื่อมต่อสัญญาณ | TVS-ปัญหาสัญญาณ | ขัด,CA2: สมาร์ทการ์ดไม่ถูกต้อง(สมาร์ทการ์ดขัดข้องหรือสกปรก) | TV,CA4: ช่องนี้ไม่รวมอยู่ในแพ็กเกจ | TVS-ปัญหาสัญญาณ | เปลี่ยน ,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,ER16: ไม่พบสัญญาณ | TVS-ปัญหาสัญญาณ | ข้อต่อหลวม ไม่ดี/ไม่สน,Mesh Wifi ไฟไม่ติด | Internet เชื่อมต่อไม่ได้ | ลูกค้าต้องกา,Preventive Dropwire Connector SC-APC L2 | คุณภาพสัญญาน | มีค,Preventive Dropwire สายตกหย่อน | คุณภาพสัญญาน | ไม่ทราบสาเหต,Proactive - Change Power Adaptor | คุณภาพสัญญาน | หัวสายสำเร,Proactive - Fiber degrade | Proactive | เหตุเสียใช้ได้ ก่อนช,Proactive - PPPOE หลุดบ่อย | Proactive | การใช้งานของลูกค้า,Proactive -monitor หลังปิดงาน Network event | Proactive | Mo,Proactive Inspection  Dropwire | Proactive | Project Inspect,Proactive ensure Fault ค่าสัญญาณดี | Proactive | Sync Speed/,Proactive ensure Fault ค่าสัญญาณดี | Proactive | ไม่พบปัญหาก,Proactive fiber poor after install/repair | Proactive | ขัดข,Proactive monitor หลังปิดงานซ่อม | คุณภาพสัญญาน | ไม่ทราบสาเ,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience outside plant | Proactive | สายหัก,Proactive-Change ONT | Proactive | Monitor เหตุเสียครบตามเงื,Proactive-Change ONT | Proactive | Wi-fi 2.4G ไม่รองรับ Spee,Proactive-Change ONT | Proactive | ลูกค้าต้องการเปลี่ยน Mode,Proactive-Fiber broken | Proactive | เหตุเสียใช้ได้ ก่อนช่าง,Remote Trueid TV หาย / ชำรุด | บริการหลังการขาย | การใช้งานข,Retention Fault | คุณภาพสัญญาน | Monitor เหตุเสียครบตามเงื่อ,Set-top box หาย/ชำรุด (ยกเว้นค่าปรับ) | บริการหลังการขาย | ไ,กล่อง Set top boxขัดข้อง | CMDU-ปัญหาอุปกรณ์ | Remote ไม่ทำง,กล่อง Set top boxขัดข้อง | TVS-ปัญหาอุปกรณ์ | CONFIG CHANGE,ขอช่างติดตั้งกล้องCCTVฟรี -ช่างนำกล้องไปติดตั้ง | บริการหลัง,ขอช่างเข้าซ่อม (กลุ่มลูกค้าร้องเรียน) | IOT-ขอบริการงานช่าง ,ขอช่างเข้าซ่อม 1-4อุปกรณ์ เก็บค่าบริการ 770บาท (รวมVAT) | IO,ขอบริการหลังการขาย-ช่าง App Line | บริการหลังการขาย | เหตุเส,ขอบริการเปลี่ยน Remote | บริการหลังการขาย | ขัดข้อง/เสีย,ขอเปลี่ยน Mesh(T626PRO) เพื่อรองรับเฉพาะ AI Package | บริการ,ขอเปลี่ยน Router Converter | บริการหลังการขาย | ลูกค้าต้องกา,ขึ้น SCAN/ปัญหาการ Download | TVS-ปัญหาสัญญาณ | ไฟไม่เข้า,ค่าสัญญาณไม่ดี | Internet เชื่อมต่อไม่ได้ | Modem แตกหัก/สีผ,ช่างไม่แจ้งข้อมูล/ไม่ครบถ้วน/ไม่ชัดเจน/ไม่ถูกต้อง | หน่วยงาน,ปัญหา Page แจ้งเตือน | เปิด Web ไม่ได้,ปัญหา Router | Internet ช้า | Wi-fi 2.4G ไม่รองรับ Speed,ปัญหา Router | Internet หลุดบ่อย | Ticket มีการระบุให้เปลี่ย,ปัญหา Router | เปิด Web ไม่ได้ | ลูกค้าต้องการเปลี่ยน Modem,ปัญหา WiFi | Internet หลุดบ่อย | Connect WiFi ไม่ได้/ไม่พบ S,ปัญหา WiFi | Internet หลุดบ่อย | การใช้งานของลูกค้า,ปัญหาระบบ | เปิด Website ไม่ได้บาง Web | เหตุเสียใช้ได้ ก่อน,ปัญหาระบบ | เล่น Game Online ไม่ได้ | CONFIG CHANGE/BUG FIRM,ปัญหาระบบ | ใช้กล้องวงจรปิดไม่ได้,ปัญหาระบบ | ใช้งานบาง Program/App ไม่ได้ | เหตุเสียใช้ได้ ก่,ปัญหาอุปกรณ์ Router รุ่น T3 ST-244F & ST-244Fv2 ต้องเปลี่ยนเ,ปัญหาเปิดกล่องแล้วจะ Reboot สัญญาณใหม่ | TrueIDTV-ปัญหารับชม,ภาพกระตุก ทุกช่อง/บางช่อง | TVS-ปัญหาสัญญาณ | ลูกค้าเปลี่ยนใ,ภาพแตก /ภาพเป็นเส้น/ ภาพค้าง/ภาพมาๆ หายๆ | TVS-ปัญหาสัญญาณ |,มีภาพแต่ไม่มีเสียง/มีเสียงแต่ไม่มีภาพ | TVS-ปัญหาสัญญาณ | ช่,ย้ายจุด/เดินสายภายในบ้าน ประเภทเดินสายลอยตีกิ๊บ จุดละ1000 บา,รับชม Live TV ไม่ได้-หน้าจอดำไม่แสดงภาพ | TrueIDTV-ปัญหารับช,ลูกค้าขอเปลี่ยน Router เพื่อรองรับBridge Mode | บริการหลังกา,สายโทรศัพท์ / สายไฟหย่อน | ข่ายสายตอนนอก-OSP | ทรูรับผิดชอบ,หน้าจอฟ้า/หน้าจอดำ | TVS-ปัญหาสัญญาณ | เหตุเสียใช้ได้ ก่อนช่,อุปกรณ์เปิดติด - Logo Trueid TV/Android TV หมุนค้าง | TrueID,อุปกรณ์เปิดไม่ติด ไฟไม่เข้า | TrueIDTV-ปัญหาอุปกรณ์ | ไฟไม่เ,เปลี่ยน Modem เป็น Router gigatex | บริการหลังการขาย | Ticke,เปลี่ยน Router/MESH T3 เป็น Skyworth | บริการหลังการขาย | Co,เปลี่ยน TrueID Gen2 | บริการหลังการขาย | ลูกค้าต้องการเปลี่ย,เปลี่ยนอุปกรณ์ STB เป็น 4K | บริการหลังการขาย | ส่งงานไม่ถูก,แจ้งเสียมากกว่า 2 ครั้ง ภายใน 30 วัน | Internet ช้า | Modemไ,โทรออกสัญญาณสายไม่ว่าง | โทรออก | เหตุเสียใช้ได้ ก่อนช่างถึง,โทรเข้าออกเงียบไม่มีสัญญาณ | โทรเข้า-ออก | ลูกค้าต้องการเปลี,ไฟ Los ดับ/ไฟ PON กระพริบ | Internet เชื่อมต่อไม่ได้ | ลูกค้,ไฟ Los ติด เป็นสีแดง | Internet เชื่อมต่อไม่ได้ | สายหัก/สาย,ไฟ PON ติดปกติ แต่ Userไม่ONLINE | Internet เชื่อมต่อไม่ได้ ,ไฟ Power ไม่ติด | Internet เชื่อมต่อไม่ได้ | เหตุเสียใช้ได้ 
Proactive poor experience outside plant | Proactive | สายหัก,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proactive-Change ONT | Proactive | Monitor เหตุเสียครบตามเงื,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proactive-Change ONT | Proactive | Wi-fi 2.4G ไม่รองรับ Spee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proactive-Change ONT | Proactive | ลูกค้าต้องการเปลี่ยน Mode,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proactive-Fiber broken | Proactive | เหตุเสียใช้ได้ ก่อนช่าง,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remote Trueid TV หาย / ชำรุด | บริการหลังการขาย | การใช้งานข,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retention Fault | คุณภาพสัญญาน | Monitor เหตุเสียครบตามเงื่อ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set-top box หาย/ชำรุด (ยกเว้นค่าปรับ) | บริการหลังการขาย | ไ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
กล่อง Set top boxขัดข้อง | CMDU-ปัญหาอุปกรณ์ | Remote ไม่ทำง,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
กล่อง Set top boxขัดข้อง | TVS-ปัญหาอุปกรณ์ | CONFIG CHANGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอช่างติดตั้งกล้องCCTVฟรี -ช่างนำกล้องไปติดตั้ง | บริการหลัง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอช่างเข้าซ่อม (กลุ่มลูกค้าร้องเรียน) | IOT-ขอบริการงานช่าง ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอช่างเข้าซ่อม 1-4อุปกรณ์ เก็บค่าบริการ 770บาท (รวมVAT) | IO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอบริการหลังการขาย-ช่าง App Line | บริการหลังการขาย | เหตุเส,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอบริการเปลี่ยน Remote | บริการหลังการขาย | ขัดข้อง/เสีย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอเปลี่ยน Mesh(T626PRO) เพื่อรองรับเฉพาะ AI Package | บริการ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขอเปลี่ยน Router Converter | บริการหลังการขาย | ลูกค้าต้องกา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ขึ้น SCAN/ปัญหาการ Download | TVS-ปัญหาสัญญาณ | ไฟไม่เข้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ค่าสัญญาณไม่ดี | Internet เชื่อมต่อไม่ได้ | Modem แตกหัก/สีผ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ช่างไม่แจ้งข้อมูล/ไม่ครบถ้วน/ไม่ชัดเจน/ไม่ถูกต้อง | หน่วยงาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ปัญหา Page แจ้งเตือน | เปิด Web ไม่ได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,6,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
